name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
DE0823-49 b,Confirmed,31.5,13,13,,,,,,,247.75,0.64,0.64,0.36,0.01,0.01,0.36,0.04,0.04,52.2,1.5,1.5,,2013,2024-03-24,41.8,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,,,,,,Published in a refereed paper,Imaging,Astrometry,,DENIS J082303.1-491201 b,,DE0823-49,125.7625,-48.79972222,,,,,,20.69,0.06,0.06,,,,0.045,0.017,0.017,,,,,0.1,0.02,0.02,2150,100,100,,,
CD-35 2722 b,Confirmed,31,8,8,,,,,,,,,,67,4,4,,,,,,,3.14554,2011,2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.33004292,-35.82533225,10.98,,,,,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.1,0.05,0.05,3680,100,100,,,
GLASS-JWST-BD1,Confirmed,31,,,,,,,,,,,,,,,,,,,,,,2023,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,,3.513875001,-30.35602779,,,,,,645,75,75,,,,,,,,,,,,,,,,,,,
GQ Lup b,Confirmed,31,210,210,,,,4.6,1.4,1.4,,,,32,2.25,2.25,,,,,,,0.735714,2005,2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,"CO, H2O",GQ Lup,237.3,-35.6508333,11.4,,,,,140,50,50,,,,0.7,,,,,,K7eV,0.001,0.001,0.001,,,,Imaging,,
HIP 5319 b,Confirmed,31,11,11,,,,,,,,,,18.6,4.1,4.1,0.42,0.29,0.29,69.4,15,15,,2022,2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 5319,17.00416667,32.01222223,6,,,,,42.9,0.04,0.04,,,,1.397,0.052,0.052,,,,F5IV,,,,,,,,,
2M 2206-20 b,Confirmed,30,20,20,,,,1.3,0.18,0.18,8686,69.4,69.4,4.48,0.4,0.4,0,,,44.3,0.7,0.7,0.167979,2010,2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350,80,80,,,
2MASS J00413538-5621127 A,Confirmed,30,,,,,,,,,,,,,,,,,,,,,,2009,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532,-56.35355144,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 B,Confirmed,30,,,,,,,,,,,,240,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275,-77.54397502,,,,,,168,10,10,,,,,,,,,,,,,,,,,,,
2MASS J2250+2325 b,Confirmed,30,4,4,,,,,,,,,,518,40,40,,,,,,,,2017,2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J2250+2325,342.5625,23.42611113,,,,,,41.5,10,10,,,,,,,,,,M3,0.15,,,,,,,,
Luhman 16 B,Confirmed,29.1,0.2,0.2,,,,0.84,,,10600,1500,1500,3.67,0.43,0.43,0.42,0.09,0.09,80.15,0.36,0.36,,2013,2024-03-15,140.3,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,,,,Published in a refereed paper,Imaging,Astrometry,,"LUH 16 B, WISE J104915.57-531906.1 B",,,162.3288125,-53.31946668,,,,,,1.998,0.0004,0.0004,,,,,,,,,,,,,,,,,,,
