,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
217,217,GJ 480,0.04153,0.00535,-0.00535,0.0,9.567,0.005,-0.005,0,0.068,0.001,-0.001,0.0,
218,218,GJ 486,0.00887,0.00035,-0.00038,0.0,1.467119,3.1e-05,-3e-05,0,0.01734,0.00026,-0.00027,0.0,0.07
219,219,GJ 536,0.01686,0.00217,-0.00195,0.0,8.7076,0.0022,-0.0025,0,0.06661,1.1e-05,-1.3e-05,0.0,-0.08
220,220,GJ 581,0.0497,0.0009,-0.0009,0.0,5.3686,0.0001,-0.0001,0,0.04061,3e-05,-3e-05,0.0,-0.2
221,221,GJ 581,0.0173,0.0009,-0.0009,0.0,12.914,0.002,-0.002,0,0.0721,0.0003,-0.0003,0.0,-0.2
222,222,GJ 581,0.0053,0.0006,-0.0006,0.0,3.149,0.0002,-0.0002,0,0.02815,6e-05,-6e-05,0.0,-0.2
223,223,GJ 625,0.00887,0.0016,-0.0016,0.0,14.628,0.012,-0.013,0,0.078361,4.4e-05,-4.6e-05,0.0,-0.38
224,224,GJ 649,0.258,0.023,-0.022,0.0,600.1,1.7,-1.7,0,1.112,0.035,-0.037,0.0,-0.04
225,225,GJ 667 C,0.018,0.004,-0.004,0.0,7.2004,0.0017,-0.0017,0,0.0505,0.0044,-0.0053,0.0,-0.5
226,226,GJ 667 C,0.012,0.005,-0.004,0.0,28.14,0.053,-0.065,0,0.125,0.012,-0.013,0.0,-0.5
227,227,GJ 667 C,0.008,0.005,-0.004,0.0,62.24,0.55,-0.55,0,0.213,0.019,-0.022,0.0,-0.5
228,228,GJ 667 C,0.008,0.004,-0.004,0.0,39.026,0.194,-0.211,0,0.156,0.014,-0.017,0.0,-0.5
229,229,GJ 667 C,0.014,0.008,-0.007,0.0,256.2,13.8,-7.9,0,0.549,0.052,-0.058,0.0,-0.5
230,230,GJ 674,0.035,,,0.0,4.6938,0.007,-0.007,0,0.039,,,0.0,-0.23
233,233,GJ 676 A,0.012,0.001,-0.001,0.0,3.60076,0.00019,-0.0002,0,0.039,0.001,-0.001,0.0,0.08
234,234,GJ 676 A,0.021,0.002,-0.002,0.0,35.47358,0.0156,-0.01472,0,0.181,0.006,-0.006,0.0,0.08
236,236,GJ 682,0.01384,0.01164,-0.00755,0.0,17.478,0.062,-0.04,0,0.08,0.014,-0.004,0.0,
237,237,GJ 682,0.02737,0.01825,-0.01447,0.0,57.32,0.45,-0.48,0,0.176,0.03,-0.009,0.0,
238,238,GJ 685,0.02832,0.00535,-0.00566,0.0,24.16,0.061,-0.047,0,0.1344,0.0052,-0.0051,0.0,-0.15
239,239,GJ 687,0.05412,0.00315,-0.00315,0.0,38.142,0.007,-0.007,0,0.163,0.003,-0.003,0.0,-0.09
240,240,GJ 687,0.05034,0.0129,-0.0129,0.0,727.562,12.198,-12.198,0,1.165,0.023,-0.023,0.0,-0.09
241,241,GJ 740,0.00931,0.00157,-0.00151,0.0,2.37756,0.00013,-0.00011,0,0.029,0.001,-0.001,0.0,0.08
244,244,GJ 849,0.00311,0.00035,-0.00035,0.0,5990.0,110.0,-100.0,0,4.95,0.25,-0.28,0.0,0.22
248,248,GJ 876,0.021,0.001,-0.001,0.0,1.93778,2e-05,-2e-05,0,0.020807,0.0,0.0,0.0,0.14
249,249,GJ 876,0.046,0.005,-0.005,0.0,124.26,0.7,-0.7,0,0.3343,0.0013,-0.0013,0.0,0.14
250,250,GJ 887,0.01321,0.00189,-0.00189,0.0,9.262,0.001,-0.001,0,0.068,0.002,-0.002,0.0,-0.06
251,251,GJ 887,0.02391,0.00378,-0.00378,0.0,21.789,0.004,-0.005,0,0.12,0.004,-0.004,0.0,-0.06
252,252,GJ 9066,0.21,0.02,-0.02,0.0,771.36,1.34,-1.23,0,0.88,0.02,-0.02,0.0,
253,253,GJ 96,0.06186,0.00761,-0.00724,0.0,73.94,0.33,-0.38,0,0.291,0.005,-0.005,0.0,0.14
254,254,GJ 9689,0.03036,0.00444,-0.00444,0.0,18.27,0.01,-0.01,0,0.1139,0.0039,-0.0039,0.0,0.05
256,256,GJ 9827,0.01617,0.00148,-0.00148,0.0,1.2089819,7.1e-06,-7.1e-06,0,0.0188,0.00016,-0.00016,0.0,-0.45
257,257,GJ 9827,0.00409,,,1.0,3.648096,6.3e-05,-6.3e-05,0,0.03925,0.00033,-0.00033,0.0,-0.45
258,258,GJ 9827,0.01111,0.00274,-0.00277,0.0,6.20147,6.3e-05,-6.3e-05,0,0.0559,0.00046,-0.00046,0.0,-0.45
262,262,Gl 378,0.04097,0.00639,-0.00632,0.0,3.822,0.001,-0.001,0,0.039435,0.00023,-0.00023,0.0,0.06
263,263,Gl 686,0.02084,0.00136,-0.00136,0.0,15.53,0.0011,-0.0011,0,0.091,0.001,-0.001,0.0,-0.3
265,265,HAT-P-11,0.084,0.007,-0.007,0.0,4.88780244,,,0,0.05254,0.00064,-0.00066,0.0,0.12
267,267,HAT-P-12,0.211,0.012,-0.012,0.0,3.2130598,2.1e-06,-2.1e-06,0,0.0384,0.0003,-0.0003,0.0,-0.28
275,275,HAT-P-18,0.197,0.013,-0.013,0.0,5.508023,6e-06,-6e-06,0,0.0559,0.0007,-0.0007,0.0,0.06
276,276,HAT-P-19,0.292,0.018,-0.018,0.0,4.008778,6e-06,-6e-06,0,0.0466,0.0008,-0.0008,0.0,0.29
284,284,HAT-P-26,0.07,0.02,-0.02,0.0,4.23452,1.5e-05,-1.5e-05,0,0.0479,0.0006,-0.0006,0.0,0.01
297,297,HAT-P-38,0.267,0.02,-0.02,0.0,4.640382,3.2e-05,-3.2e-05,0,0.0523,0.0009,-0.0009,0.0,0.1
362,362,HATS-38,0.074,0.011,-0.011,0.0,4.375021,1e-05,-1e-05,0,0.05036,0.0003,-0.00023,0.0,-0.1
368,368,HATS-43,0.261,0.054,-0.054,0.0,4.3888497,5.9e-06,-5.9e-06,0,0.04944,0.00046,-0.00046,0.0,0.05
371,371,HATS-46,0.173,0.062,-0.062,0.0,4.7423729,4.9e-06,-4.9e-06,0,0.05367,0.00053,-0.00053,0.0,-0.06
374,374,HATS-5,0.237,0.012,-0.012,0.0,4.763387,1e-05,-1e-05,0,0.0542,0.0006,-0.0006,0.0,0.1
388,388,HATS-62,0.179,,,0.0,3.2768837,3.3e-06,-3.3e-06,0,0.04163,0.00024,-0.00016,0.0,0.12
396,396,HATS-7,0.12,0.012,-0.012,0.0,3.185315,5.4e-06,-5.4e-06,0,0.04012,0.00043,-0.00043,0.0,0.19
398,398,HATS-72,0.1254,0.0039,-0.0039,0.0,7.3279474,1.6e-06,-1.6e-06,0,0.066517,8.5e-05,-8.5e-05,0.0,-0.09
402,402,HATS-8,0.138,0.019,-0.019,0.0,3.583893,1e-05,-1e-05,0,0.04667,0.00055,-0.00055,0.0,0.17
406,406,HD 10180,0.04122,0.0017,-0.0017,0.0,5.75969,0.00028,-0.00028,0,0.06412,0.00101,-0.00101,0.0,0.08
407,407,HD 10180,0.03697,0.00205,-0.00205,0.0,16.357,0.0038,-0.0038,0,0.12859,0.00202,-0.00202,0.0,0.08
408,408,HD 10180,0.079,0.0038,-0.0038,0.0,49.748,0.025,-0.025,0,0.2699,0.0043,-0.0043,0.0,0.08
409,409,HD 10180,0.0752,0.0044,-0.0044,0.0,122.744,0.232,-0.232,0,0.4929,0.0078,-0.0078,0.0,0.08
410,410,HD 10180,0.0673,0.0107,-0.0107,0.0,604.67,10.42,-10.42,0,1.427,0.028,-0.028,0.0,0.08
411,411,HD 10180,0.203,0.014,-0.014,0.0,2205.0,105.9,-105.9,0,3.381,0.121,-0.121,0.0,0.08
412,412,HD 101930,0.25,0.02,-0.02,0.0,70.46,0.18,-0.18,0,0.3,0.01,-0.01,0.0,0.14
413,413,HD 102117,0.17,0.01,-0.01,0.0,20.8133,0.0064,-0.0064,0,0.15,0.0,0.0,0.0,0.3
420,420,HD 103197,0.09,0.02,-0.02,0.0,47.84,0.03,-0.03,0,0.25,0.0,0.0,0.0,0.24
423,423,HD 103949,0.03524,0.00724,-0.00724,0.0,120.878,0.446,-0.446,0,0.439,0.009,-0.009,0.0,-0.05
424,424,HD 104067,0.16,0.02,-0.02,0.0,55.806,0.049,-0.049,0,0.26,0.0,0.0,0.0,-0.05
427,427,HD 105618,0.08,0.007,-0.008,0.0,10.02245,0.00139,-0.00118,0,0.091,0.004,-0.004,0.0,
432,432,HD 106315,0.03964,0.01007,-0.01007,0.0,9.55237,0.00089,-0.00089,0,0.0907,0.001,-0.001,0.0,-0.06
433,433,HD 106315,0.04782,0.01164,-0.01164,0.0,21.05704,0.00046,-0.00046,0,0.1536,0.0017,-0.0017,0.0,-0.06
437,437,HD 107148,0.21,0.036,-0.036,0.0,48.056,0.057,-0.057,0,0.269,0.016,-0.016,0.0,0.32
438,438,HD 107148,0.0626,0.0097,-0.0098,0.0,18.3267,0.0022,-0.0024,0,0.1407,0.0018,-0.0019,0.0,0.32
