,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
319,319,HAT-P-59,1.54,0.067,-0.067,0,4.1419771,0.0000012,-0.0000012,0,0.05064,0.00037,-0.00037,0,0.22
320,320,HAT-P-6,1.32,0.3,-0.3,0,3.85298,0.000005,-0.000005,0,0.05239,0.0008,-0.00082,0,-0.03
321,321,HAT-P-60,0.574,0.038,-0.038,0,4.7947813,0.0000024,-0.0000024,0,0.06277,0.00017,-0.00017,0,0.04
322,322,HAT-P-61,1.057,0.07,-0.07,0,1.90231289,0.00000077,-0.00000077,0,0.0301,0.00034,-0.00034,0,0.19
323,323,HAT-P-62,0.761,0.088,-0.088,0,2.6453235,0.0000039,-0.0000039,0,0.03772,0.00024,-0.00024,0,0.41
324,324,HAT-P-63,0.614,0.024,-0.024,0,3.377728,0.000013,-0.000013,0,0.04294,0.00035,-0.00035,0,0.25
325,325,HAT-P-64,0.58,0.18,-0.13,0,4.007232,0.0000017,-0.0000017,0,0.05387,0.0003,-0.0003,0,-0.11
326,326,HAT-P-65,0.527,0.083,-0.083,0,2.6054552,0.0000031,-0.0000031,0,0.03951,0.00054,-0.00054,0,0.1
327,327,HAT-P-66,0.783,0.057,-0.057,0,2.972086,0.0000057,-0.0000057,0,0.04363,0.00121,-0.00064,0,0.15
328,328,HAT-P-67,0.34,0.25,-0.19,0,4.8101025,0.00000043,-0.00000033,0,0.06505,0.00273,-0.00079,0,-0.08
329,329,HAT-P-68,0.724,0.043,-0.043,0,2.29840551,0.00000052,-0.00000052,0,0.02996,0.00043,-0.00012,0,-0.06
330,330,HAT-P-69,3.58,0.58,-0.58,0,4.7869491,0.0000018,-0.0000021,0,0.06555,0.0007,-0.00035,0,-0.06
331,331,HAT-P-7,1.84,0.53,-0.53,0,2.20474,0.000017,-0.000017,0,0.03676,0.00019,-0.00019,0,0.28
332,332,HAT-P-70,6.78,,,0,2.74432452,0.00000079,-0.00000068,0,0.04739,0.00031,-0.00106,0,-0.06
333,333,HAT-P-8,1.28,0.27,-0.27,0,3.07634,0.000004,-0.000004,0,0.04496,0.00046,-0.00045,0,0.08
334,334,HAT-P-9,0.749,0.064,-0.063,0,3.92281072,0.00000102,-0.00000102,0,0.05287,0.00078,-0.00078,0,0.15
335,335,HATS-1,1.855,0.262,-0.196,0,3.446459,0.000004,-0.000004,0,0.0444,0.0008,-0.0008,0,-0.02
336,336,HATS-10,0.526,0.081,-0.081,0,3.312846,0.0000058,-0.0000058,0,0.04491,0.00074,-0.00074,0,0.4
337,337,HATS-11,0.83,0.1,-0.1,0,3.619188,0.000028,-0.000029,0,0.0507,0.0012,-0.0012,0,-0.39
338,338,HATS-12,2.39,0.087,-0.087,0,3.142702,0.000053,-0.000053,0,0.0441,0.0005,-0.0005,0,-0.1
339,339,HATS-13,0.543,0.072,-0.072,0,3.0440499,0.0000027,-0.0000027,0,0.04057,0.00041,-0.00041,0,0.14
340,340,HATS-14,1.071,0.07,-0.07,0,2.7667641,0.0000027,-0.0000027,0,0.03815,0.00032,-0.00032,0,0.35
341,341,HATS-15,2.17,0.15,-0.15,0,1.74748753,0.00000094,-0.00000094,0,0.02712,0.00023,-0.00023,0,0
342,342,HATS-16,3.27,0.19,-0.19,0,2.686502,0.000011,-0.000011,0,0.03744,0.00045,-0.00045,0,0.1
343,343,HATS-17,1.338,0.065,-0.065,0,16.254611,0.000073,-0.000073,0,0.1308,0.0012,-0.0012,0,0.36
344,344,HATS-18,1.9795,0.076,-0.076,0,0.83784,0.00000047,-0.00000047,0,0.0174,0.00098,-0.00098,0,0.28
345,345,HATS-2,1.345,0.15,-0.15,0,1.354133,0.000001,-0.000001,0,0.023,0.0003,-0.0003,0,0.29
346,346,HATS-22,2.74,0.11,-0.11,0,4.7228124,0.0000052,-0.0000052,0,0.05025,0.00042,-0.00042,0,0
347,347,HATS-23,1.47,0.072,-0.072,0,2.1605156,0.0000045,-0.0000045,0,0.03397,0.00047,-0.00047,0,0.28
348,348,HATS-24,2.26,0.17,-0.17,0,1.3484978,0.0000009,-0.0000009,0,0.0238,0.001,-0.001,0,0
349,349,HATS-25,0.613,0.042,-0.042,0,4.2986432,0.0000045,-0.0000045,0,0.05163,0.0006,-0.0006,0,0.02
350,350,HATS-26,0.65,0.076,-0.076,0,3.3023881,0.0000076,-0.0000076,0,0.04735,0.00133,-0.00068,0,-0.02
351,351,HATS-27,0.53,0.13,-0.13,0,4.637038,0.000014,-0.000014,0,0.0611,0.00068,-0.00068,0,0.3
352,352,HATS-28,0.672,0.087,-0.087,0,3.1810781,0.0000039,-0.0000039,0,0.04131,0.00053,-0.00053,0,0.01
353,353,HATS-29,0.653,0.063,-0.063,0,4.6058749,0.0000063,-0.0000063,0,0.05475,0.00088,-0.00088,0,0.16
354,354,HATS-3,1.071,0.136,-0.136,0,3.547851,0.000005,-0.000005,0,0.0485,0.0004,-0.0006,0,-0.02
355,355,HATS-30,0.706,0.039,-0.039,0,3.1743516,0.0000026,-0.0000026,0,0.04354,0.00042,-0.00042,0,0.06
356,356,HATS-31,0.88,0.12,-0.12,0,3.37796,0.000012,-0.000012,0,0.0478,0.0012,-0.0012,0,0
357,357,HATS-32,0.92,0.1,-0.1,0,2.8126548,0.0000055,-0.0000055,0,0.04024,0.00053,-0.00053,0,0.39
358,358,HATS-33,1.192,0.053,-0.053,0,2.5495551,0.0000061,-0.0000061,0,0.03727,0.00037,-0.00037,0,0.33
359,359,HATS-34,0.941,0.072,-0.072,0,2.1061607,0.0000047,-0.0000047,0,0.03166,0.00034,-0.00034,0,0.25
360,360,HATS-35,1.222,0.078,-0.078,0,1.8209993,0.0000016,-0.0000016,0,0.03199,0.00033,-0.00033,0,0.21
361,361,HATS-36,3.216,0.062,-0.062,0,4.175186,0.000033,-0.000033,0,0.0523,0.0006,-0.0006,0,0.13
363,363,HATS-39,0.63,0.13,-0.13,0,4.5776348,0.0000073,-0.0000073,0,0.06007,0.00058,-0.00058,0,0
364,364,HATS-4,1.323,0.028,-0.028,0,2.516729,0.000002,-0.000002,0,0.0362,0.0002,-0.0002,0,0.43
365,365,HATS-40,1.59,0.24,-0.24,0,3.2642736,0.0000058,-0.0000058,0,0.04997,0.00074,-0.00074,0,0.01
366,366,HATS-41,9.7,1.6,-1.6,0,4.193649,0.000013,-0.000013,0,0.0583,0.0015,-0.001,0,0.47
